Object ID,clusters
3c0a0c89-63f6-42dd-ab3f-ce51ebfc0924,0
ec622cbc-a7c7-4976-9188-3bafd46f33f5,2
fa72141a-f2a8-4f99-854a-f1ca0788278d,1
bb7cce14-c53e-409b-9380-ac2646392cb6,3
fdb03624-3ea6-49a9-8785-0f6fb390d245,0
9780ec29-26cc-4424-a5ad-ffcb8bfa41f2,8
c36dfdaf-c266-41d1-9f7a-6b200011f1e6,4
18e5e22c-facf-4245-8a22-e900648866dc,0
33ea3842-b439-43f7-914b-58e4accd1d75,6
44c0cb94-4664-48e1-9558-96807b97932c,0
b08daf54-0d9d-4751-a667-036060b79f52,0
333f22f1-027d-42d8-998d-8a88c1bd7171,4
aa2dd6ac-f92b-49f9-a508-b90e4d6dbc64,6
6e63a596-1058-4c3a-8c2b-9fdd33a70284,3
11a2161a-f753-4125-90c3-d3e72f013631,0
2525d3c7-da8d-46ab-bcbf-d3afae739a50,1
d7682230-8eed-4c4b-b69b-ce8116e77d14,3
9425c82a-bfea-4c9a-89ad-a9bb365dca89,5
19cc0c14-2539-4d30-9f96-8a01d860a0dd,4
a5d0959e-a136-4af6-8d26-f5823c52350a,2
3b03e3d8-1232-4889-a241-ab1e47644693,1
7db832be-f330-4534-b010-dc6e6bcefe09,1
c35c6f5f-db00-4608-b4b2-3bc565809a7e,2
adda858a-cc30-4ea1-b56a-77f811c056e2,4
5692d35c-5b5c-47ed-9650-3c78018841aa,2
4f31f307-5301-4d38-85d9-f334ab1d8165,3
454a9953-1374-4189-846b-c05e9e65d6ad,4
957ff7d7-2ad5-40b9-9cf6-268939d6a6e3,0
e4e586e0-b201-43df-80b2-943b4256117d,6
8b4f9af4-e967-4f8a-9a0a-6fddf92c96af,4
2b64ebf3-8788-4670-afe7-4b2401a62dbd,0
0c82a316-55d7-45c8-8890-f59d19d8bd34,2
43385a3e-4cd7-4862-845e-3f5d3d39619c,1
35e0e1b0-6f2e-4320-9228-7749f2c2ff6b,6
36eb8b10-2f24-4df9-845e-1dd5a070f9b9,4
837e65a3-5282-4d0a-ad00-82641a73783e,2
d484fc82-e357-4bdd-a57c-a4b6bd81a3ca,4
16b05e95-cf26-4650-bd54-f995bf72e70f,6
a815012b-75fb-4d21-ad0d-eb5aff68a96e,3
2cbf7932-9902-49d0-aaff-f7d970c7b901,0
b70eec37-c08e-4d1c-afa2-a4fde32987c4,0
fe1d5dd7-19be-4644-a68b-1ca47e670a3c,6
406ab823-52bc-4e0d-8d58-a92657b74e97,0
b3a55543-9a71-4dcf-a69c-d08f9865ed84,2
426aca96-3885-44d3-a481-54c5b87a41f1,0
f45fc1bc-d976-4b79-8f9b-424e53688a37,2
43b62ded-5d9d-41f4-b89e-9960996b50d8,0
1075ce1f-5db7-45b8-b97a-8f1756acbe2a,0
6b423d6a-0d9e-4a25-a16a-f583edbf71aa,2
4a63af02-94bb-46c6-bd6a-2d18571804bc,4
0da57179-dc7a-45bc-a6c5-25d661b26f8b,2
75b870b7-cd3d-4079-8209-95be3229d7eb,0
8b201c62-83d5-4195-908e-d12de11b5d0e,1
1d7503fb-b8be-48bc-bde3-9611c373b86d,5
9beee89b-a0e8-4be6-8246-e4da8a63dbbb,6
43e504ca-3c3d-45d5-b212-30162afe6eec,7
7d068121-0d3e-4fff-8a5c-543e08ef2344,4
0f5cf81a-86da-439d-81e3-cfc8ede1422c,1
6069e40e-92d0-40ea-b3a2-a7565088d460,4
9a021aef-ddc4-4d80-b29b-42893e4c9c3d,5
ef09f8d4-8a43-42c8-bad5-f42c19e6c38f,3
b86d5fb8-8db5-4c42-8ed6-aea269cfbea7,7
2849c0bc-2421-479b-9dca-83100211cd64,0
a279ff12-7e95-4aee-a00f-1264aad83194,0
a005ae97-b8b5-4430-83ac-4cd579a8c768,0
420c7107-febc-4b9c-b943-b6287abbb30b,1
b60582f3-079b-4908-a528-84ddc4ba8344,4
9f9fd479-24e0-470a-bb7b-1d5327c6902d,3
0e2b2aa5-5870-4df1-b50a-ad2a06ea4e50,5
97b0df6e-15d2-4124-a989-f311ff02a757,2
62107d72-f787-4aaa-b7bd-3f1064240400,3
bdd02942-63dc-4b91-b41f-39a169efdeee,1
d86f4ed1-f66c-476c-8aad-705f340c4201,3
1d5b4ff9-7e9e-4126-9e8e-c3b5ad5d780f,1
239a237c-0244-44ea-bfb6-89f5e861541f,7
3fc8bbac-d520-42a9-8103-d81f42f8ab5a,7
cbfa5117-68ac-4c9c-b5cf-4d981d0fc356,0
4177b0bc-cedb-4b40-a91e-6cf4fbc8f181,3
cd0fa562-7484-4d31-826f-fe6cc954abb2,0
0e37faa2-c0dc-4415-9bd2-e6b10d1117cb,4
21530329-aa74-476a-937e-a63938199ec7,1
4b526692-52b3-4a1f-b954-b50cd129542d,4
d09f4a20-842f-444f-93f2-de8965e2c589,4
9eaf01c9-2c31-4d50-a345-1460a5d6f165,0
c9d195cb-270d-4a5e-9560-e5bd7ada3dbd,2
d146d65e-4a77-46de-a148-5a08e636810d,6
141367fd-55be-4c05-829a-ee33c26272fd,0
024b2551-519e-42e9-8ed9-77542c101fbc,1
460952a6-427e-469d-8add-adbf422cc3f4,0
3b32d760-a56a-4a91-b93f-b95ab1dca03f,1
889fa66f-c60c-4747-990d-ac3cd0e086a0,1
684b83e9-c8f4-4494-b285-e5427b8d42ce,6
7d29a44d-95ec-463a-8a91-bbcb0f116437,3
b4a55587-ce80-42f0-bcc0-3df793181af1,2
053e24d8-5faf-4b12-a7de-ffa47bb4b1be,2
018db778-9c6b-4c2a-9cf6-f0f707a4302c,1
1891279d-f77a-4a4e-a8ad-dd10ef6b6842,0
5088a6e9-7937-442c-85ae-fe2bfedcab10,6
4ed1865b-b109-4684-bb6c-d0907b7cac38,1
fcc26b88-76a5-4fde-9515-09bb305b8554,2
fbfb0920-658d-4831-8117-dcf41b1e4787,2
f6ab66dd-8894-4a12-91eb-56e25ae09291,3
d7bbb9a1-ea29-414c-ac5c-80d1fcc4c3e4,3
caea0e1c-311e-4f4f-8fe8-65c9720466a7,3
9e301196-7a06-4356-94e1-1b64b427029d,2
e0fb4de9-4cab-435b-934e-3129b19e3565,8
32ee7cec-f7a0-48ff-8b24-3d7a398824a3,0
af248623-bc6f-4c27-a3d1-517c3714d40c,8
9a7359de-8c29-42da-ae89-28aee79b973d,4
408145a9-10e6-42dc-86ea-c8381d5d7d63,6
037e2170-0084-4ac5-84d7-136f4210a937,0
cf9b81da-de64-4868-b93f-42c23238bed4,2
f1ed0ee5-5ef5-43ed-89cc-b6e0e6633330,4
10f77655-0b65-408b-b644-170497a0f4d2,4
3af1becd-eb28-4e1e-a051-0565f9be7393,3
3d7c5175-6d68-4f4f-a834-df1c60d140b6,0
8cc44d94-3666-412a-b2c2-df9846d2ef05,0
e7873668-36af-4449-85a5-171bd9002dc8,3
7419c647-5f02-4f63-880f-f249da96029f,7
f6423061-af58-410d-aefc-10d2cecb04db,2
fb064b2f-4c42-4049-ac30-d67c37d1af00,6
019c7b4c-9369-4a6b-977c-2e41b722ec65,0
5fa61c8f-d2f3-4801-bef0-b0d96a0901f6,1
a26ec29a-3944-4b22-93a2-b500a96cd345,1
f2e6fbaa-6229-492c-9ef6-5ba452a61877,5
ca4e0335-7a2a-4aec-a52b-9538d13061c2,6
3b966719-5223-4f6b-9ac0-69d6134cc540,3
1b48b150-0fd4-42cf-8b32-3059bbb225d0,7
8273530d-ed41-42c5-9ac2-c4fdc9029fb3,4
19b19aea-81ce-4b2c-835f-4647850b2bf2,4
406e065b-a9ba-4d32-b375-678dbb9d1e72,0
2a925b35-e722-41f6-90c6-8432c629ffe8,5
7b622969-61f0-4cff-a66c-5637fcfb9dfd,1
1e47b9a3-8c3a-4160-a99a-e3e4b27f34d6,0
f815ca37-7681-4b7f-b394-6f71e43ad621,0
6c96d5f3-c74f-4e6c-98e8-f3bc63f5333e,3
425a4cd1-cde7-4ae3-a206-90b763871461,7
14b48cca-96e3-4232-86d4-0512ce319316,4
0bd4c245-42a1-4aee-aa06-5939f91e8094,1
374cfeb8-759a-4354-98aa-c8dcbf19ffed,3
65393581-efd2-4786-a92d-878ef3a6cd5f,0
2268df34-36ac-491a-b1f7-8e9793c43443,5
